t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
 6	0.0	neg	CGF	 5.847937e-02	 5.388631e-02	 6.390579e-02	 0.059631316	 0.055116335	 0.065172125	 0.07518503	 0.06844069	 0.08080153	 0.075446836	 0.069070258	 0.081718203	0.05241274	0.04683184	0.05993400	5.022393e-02	4.569831e-02	5.511625e-02
 6	0.0	neg	HI	 9.381761e-02	 8.978744e-02	 9.709415e-02	 0.094347402	 0.090711957	 0.098845892	 0.09546990	 0.09224694	 0.09922638	 0.095462851	 0.091546980	 0.099239413	0.09302695	0.08915391	0.09699987	9.313112e-02	9.032598e-02	9.678361e-02
 6	0.0	pos	CGF	 6.923386e-02	 6.436009e-02	 7.414677e-02	 0.065605565	 0.061311719	 0.071559647	 0.08756279	 0.08203459	 0.09497530	 0.082749875	 0.077363316	 0.090790241	0.25206588	0.24451509	0.25816678	NA	NA	NA
 6	0.0	pos	HI	 9.455021e-02	 9.118798e-02	 9.834947e-02	 0.091884145	 0.087254615	 0.096503165	 0.09623506	 0.09181956	 0.10009755	 0.093656975	 0.087612123	 0.098267430	0.10863515	0.10480697	0.11285047	9.075529e-02	8.647700e-02	9.446551e-02
 6	0.9	neg	CGF	 5.770977e-02	 3.761932e-02	 8.095843e-02	 0.065442920	 0.041411185	 0.085285283	 0.11672638	 0.06121524	 0.15815725	 0.124343472	 0.083531947	 0.152849277	NA	NA	NA	NA	NA	NA
 6	0.9	neg	HI	 8.800727e-02	 7.858548e-02	 9.907628e-02	 0.090625636	 0.079876167	 0.100903982	 0.15326630	 0.13156858	 0.17167744	 0.159549171	 0.143686140	 0.177117225	NA	NA	NA	NA	NA	NA
 6	0.9	pos	CGF	 9.691117e-02	 8.205837e-02	 1.125296e-01	 0.064626108	 0.045800597	 0.085328882	 0.17985544	 0.15357384	 0.20623687	 0.118708704	 0.082086820	 0.163657647	0.68620312	0.67016010	0.69851353	NA	NA	NA
 6	0.9	pos	HI	 1.037467e-01	 9.457609e-02	 1.149291e-01	 0.086844069	 0.077095115	 0.099370075	 0.18112921	 0.16573395	 0.20198406	 0.151573496	 0.132859102	 0.173330100	0.86615111	0.85681099	0.87745859	NA	NA	NA
 7	0.0	neg	CGF	 7.192530e-02	 6.779781e-02	 7.733643e-02	 0.072998650	 0.069134295	 0.077650905	 0.08819059	 0.08319143	 0.09313971	 0.089987937	 0.083658532	 0.096940173	0.05643816	0.05323043	0.06025623	5.569733e-02	5.191953e-02	5.916900e-02
 7	0.0	neg	HI	 9.042855e-02	 8.577002e-02	 9.492850e-02	 0.090143726	 0.085566758	 0.095461062	 0.09096036	 0.08606038	 0.09498184	 0.091333085	 0.087425665	 0.096597550	0.08987835	0.08607348	0.09379467	8.984965e-02	8.521760e-02	9.511913e-02
 7	0.0	pos	CGF	 7.735227e-02	 7.484352e-02	 7.935729e-02	 0.073889850	 0.071418157	 0.076238532	 0.09482642	 0.09206702	 0.09805990	 0.090563607	 0.087645825	 0.093566807	0.25128020	0.24401486	0.26125257	NA	NA	NA
 7	0.0	pos	HI	 9.646730e-02	 8.973182e-02	 1.036758e-01	 0.095348615	 0.089615952	 0.101675513	 0.09766017	 0.09167774	 0.10522993	 0.095343174	 0.088038033	 0.103435792	0.10417953	0.09713243	0.10939934	9.420401e-02	8.766850e-02	1.016349e-01
 7	0.9	neg	CGF	 4.931685e-02	 3.532885e-02	 6.115616e-02	 0.060828592	 0.051291010	 0.069892905	 0.09084226	 0.06458113	 0.11648095	 0.111126143	 0.092469775	 0.124749110	NA	NA	NA	NA	NA	NA
 7	0.9	neg	HI	 9.675229e-02	 8.035344e-02	 1.138373e-01	 0.099273195	 0.082528827	 0.114939080	 0.16513622	 0.14189014	 0.18792766	 0.168396255	 0.143190980	 0.191255682	NA	NA	NA	NA	NA	NA
 7	0.9	pos	CGF	 9.048985e-02	 8.156648e-02	 9.895567e-02	 0.057151699	 0.041771220	 0.073401755	 0.16687648	 0.15466174	 0.18369649	 0.106882588	 0.081417865	 0.134523052	0.72844336	0.72168627	0.73674898	NA	NA	NA
 7	0.9	pos	HI	 1.035324e-01	 9.767997e-02	 1.090902e-01	 0.089198778	 0.079972272	 0.096031305	 0.17659608	 0.16388700	 0.18837839	 0.153123097	 0.140729655	 0.165361833	0.83300404	0.81885150	0.84304303	NA	NA	NA
 8	0.0	neg	CGF	 7.547575e-02	 7.000701e-02	 8.039185e-02	 0.075631808	 0.070187438	 0.080226032	 0.09018371	 0.08469162	 0.09566892	 0.090771094	 0.085097112	 0.095921390	0.06155110	0.05663781	0.06563535	6.060850e-02	5.682691e-02	6.424196e-02
 8	0.0	neg	HI	 8.977103e-02	 8.507051e-02	 9.518705e-02	 0.090414115	 0.085377338	 0.094528427	 0.09045158	 0.08502360	 0.09543136	 0.090871931	 0.086291955	 0.095372607	0.08982910	0.08502591	0.09520796	9.026359e-02	8.568519e-02	9.431699e-02
 8	0.0	pos	CGF	 8.189256e-02	 7.438034e-02	 8.963808e-02	 0.079067853	 0.071293139	 0.088045989	 0.09842225	 0.08972188	 0.10903223	 0.094664373	 0.087322878	 0.104170386	0.24243760	0.23483719	0.25065246	8.374400e-02	8.374400e-02	8.374400e-02
 8	0.0	pos	HI	 9.429641e-02	 8.940027e-02	 9.936921e-02	 0.092545237	 0.087241018	 0.098578675	 0.09475652	 0.09005071	 0.10018880	 0.092957852	 0.087776540	 0.099552425	0.09688346	0.09178453	0.10174092	9.187699e-02	8.711393e-02	9.651746e-02
 8	0.9	neg	CGF	 5.658665e-02	 3.646707e-02	 7.657169e-02	 0.069579485	 0.052297505	 0.085385837	 0.10733288	 0.06253504	 0.14720007	 0.120825312	 0.082855490	 0.156366697	NA	NA	NA	NA	NA	NA
 8	0.9	neg	HI	 8.561500e-02	 7.340985e-02	 1.002253e-01	 0.088194046	 0.074940417	 0.099897870	 0.14332471	 0.12424341	 0.16461524	 0.146788124	 0.125710187	 0.170195190	NA	NA	NA	NA	NA	NA
 8	0.9	pos	CGF	 9.525249e-02	 8.887492e-02	 1.022260e-01	 0.069821981	 0.058502623	 0.080005800	 0.17321585	 0.16135506	 0.18489281	 0.126691480	 0.109202278	 0.144773350	0.75598065	0.74503274	0.76788950	NA	NA	NA
 8	0.9	pos	HI	 1.098945e-01	 1.013200e-01	 1.194111e-01	 0.098712586	 0.087253985	 0.112719885	 0.18260202	 0.16879555	 0.20071503	 0.165462503	 0.147648873	 0.187845873	0.80727260	0.80135821	0.81376432	NA	NA	NA
 9	0.0	neg	CGF	 7.283373e-02	 6.909738e-02	 7.658361e-02	 0.073711224	 0.068705767	 0.077456355	 0.08540611	 0.07965646	 0.09014796	 0.086548806	 0.082121753	 0.091116220	0.06102791	0.05798546	0.06365452	6.037873e-02	5.765457e-02	6.343249e-02
 9	0.0	neg	HI	 9.272483e-02	 8.797414e-02	 9.763229e-02	 0.093249063	 0.087589895	 0.098858658	 0.09329858	 0.08773682	 0.09766597	 0.093652010	 0.087640253	 0.099051118	0.09264514	0.08741511	0.09757094	9.311920e-02	8.819758e-02	9.831114e-02
 9	0.0	pos	CGF	 7.936259e-02	 7.539782e-02	 8.408376e-02	 0.076447961	 0.072318160	 0.080346150	 0.09379999	 0.08784564	 0.09899150	 0.089756448	 0.082885120	 0.095265152	0.22991618	0.22047801	0.23855347	6.900980e-02	6.721099e-02	7.175285e-02
 9	0.0	pos	HI	 9.803176e-02	 9.350348e-02	 1.031528e-01	 0.096885931	 0.092236010	 0.103113518	 0.09832198	 0.09483379	 0.10280563	 0.097216480	 0.091622435	 0.102662708	0.09963936	0.09446442	0.10567776	9.596353e-02	9.035246e-02	1.018818e-01
 9	0.9	neg	CGF	 7.891845e-02	 5.699237e-02	 9.938838e-02	 0.084834913	 0.067352623	 0.100961800	 0.13385415	 0.08786255	 0.17711152	 0.153781792	 0.120135568	 0.182975457	NA	NA	NA	NA	NA	NA
