model	cov	P	t	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	theta	gen	var.prs.geno	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
HI	pos	0.6	14	0.907423187287148	0.0925766949607051	0.00413114325542531	0.043005069572124	1.0471360950754	0.5	100	1.04072913138769	0.138380266179554	0.5	0.01099511627776	0.0423848733204503	0.907423305023017	0.0925766949769827	0.00407156610353058	1.04645643942398	0.139033134400964
HI	pos	0.6	15	0.90742345214846	0.0925766949515643	0.00331688369942381	0.0345286535558979	1.03784568435535	0.5	100	1.03922369586067	0.129130981830618	0.5	0.00879609302220801	0.0339078986563602	0.907423305023017	0.0925766949769827	0.00325725288282447	1.03716515153918	0.129741846516167
HI	pos	0.6	16	0.907423767087472	0.09257669472627	0.00266294267426979	0.0277211483342183	1.03038455282223	0.5	100	1.02787364525394	0.121486779874275	0.5	0.00703687441776641	0.0271263189250882	0.907423305023017	0.0925766949769827	0.00260580230625957	1.02973212123135	0.12230881620833
HI	pos	0.6	17	0.907423404734467	0.0925766949653075	0.00214171416025189	0.0222951761220764	1.0244369899821	0.5	100	1.02443159099277	0.115352713010224	0.5	0.00562949953421313	0.0217010551400706	0.907423305023017	0.0925766949769827	0.00208464184500766	1.02378569698508	0.116362391962061
HI	pos	0.6	18	0.907422413124969	0.092576694042865	0.00172155921743658	0.0179213765635366	1.01964204294881	0.5	100	1.01878603710774	0.110621160716863	0.5	0.0045035996273705	0.0173608441120564	0.907423305023017	0.0925766949769827	0.00166771347600613	1.01902855758806	0.111605252565045
HI	pos	0.6	19	0.907424039140794	0.09257669434413	0.00138676972732505	0.0144362286458617	1.01582373185811	0.5	100	1.01538143519566	0.106988935885233	0.5	0.0036028797018964	0.0138886752896452	0.907423305023017	0.0925766949769827	0.0013341707808049	1.01522284607045	0.107799541047433
HI	pos	0.6	20	0.907424320872253	0.0925766937651863	0.00111926078351559	0.0116514690700268	1.01277174449098	0.5	100	1.00965795452219	0.103958418792584	0.5	0.00288230376151712	0.0111109402317161	0.907423305023017	0.0925766949769827	0.00106733662464392	1.01217827685636	0.104754971833343
HI	pos	0.6	21	0.907422972503536	0.0925766948471436	0.000905580015135792	0.00942705908416395	1.01033230644998	0.5	100	1.00961199520607	0.101620240587617	0.5	0.0023058430092137	0.0088887521853729	0.907423305023017	0.0925766949769827	0.000853869299715138	1.00974262148509	0.102319316462071
HI	pos	0.6	22	0.907423285045211	0.092576694976514	0.000733639871405314	0.00763716767004767	1.00837078756318	0.5	100	1.01389264291069	0.0997020189893327	0.5	0.00184467440737096	0.00711100174829832	0.907423305023017	0.0925766949769827	0.000683095439772108	1.00779409718807	0.100370792165053
HI	pos	0.6	23	0.907423433680088	0.0925766949575452	0.000596618304429862	0.00621077752661166	1.00680752446867	0.5	100	1.01864938470106	0.0981945153832844	0.5	0.00147573952589677	0.00568880139863866	0.907423305023017	0.0925766949769827	0.000546476351817688	1.00623527775046	0.098811972727439
