t	P	cov	vg_standard.mean	vg_standard.CI95l	vg_standard.CI95r	vg_standard_ganc.mean	vg_standard_ganc.CI95l	vg_standard_ganc.CI95r	vg_VarX.mean	vg_VarX.CI95l	vg_VarX.CI95r	vg_Varx_ganc.mean	vg_Varx_ganc.CI95l	vg_Varx_ganc.CI95r	vg_LD.mean	vg_LD.CI95l	vg_LD.CI95r	vg_LD_ganc.mean	vg_LD_ganc.CI95l	vg_LD_ganc.CI95r	model	manc	vanc	exp1	exp2	exp3	exp4	exp.total
17	0.0	pos	1.01541666	1.00203713	1.03526548	1.0138372	1.0024060	1.0270590	1.01448059	1.00147454	1.03054947	1.0144912	1.0017837	1.0302994	1.0085464	0.9996366	1.0200157	1.0075818	0.9987543	1.0174847	HI	0.5000431	0.0001268881	0.9074225	0.09257669	4.698753e-05	 4.891387e-04	1.0005354
17	0.9	neg	0.15676495	0.15271495	0.16091128	1.0014085	0.9890696	1.0148710	0.17801384	0.17408022	0.18275462	1.0332096	1.0211234	1.0483216	0.9620121	0.9555699	0.9680254	0.9601532	0.9543480	0.9657734	HI	0.5000103	0.1046592177	0.9074231	0.09257669	3.875602e-02	-7.532250e-02	0.9634333
17	0.9	pos	5.56140540	5.47319545	5.67657708	0.9984710	0.9763193	1.0187206	6.02330968	5.92047407	6.12192734	1.0290493	1.0109398	1.0503241	1.4514176	1.4404733	1.4648875	0.9573302	0.9478107	0.9674983	HI	0.4999876	0.1061480045	0.9074235	0.09257669	3.930733e-02	 4.091880e-01	1.4484956
18	0.0	neg	0.99687137	0.98242684	1.01136894	0.9976973	0.9805630	1.0119745	0.99767850	0.98422050	1.01319037	0.9988674	0.9835036	1.0141154	1.0019088	0.9903459	1.0092859	1.0030533	0.9938068	1.0135969	HI	0.5000097	0.0001258400	0.9074231	0.09257669	4.659941e-05	-9.056617e-05	0.9999559
18	0.0	pos	1.01368450	1.00122243	1.02393971	1.0145219	1.0032846	1.0239531	1.01550989	1.00422052	1.02813126	1.0142010	1.0004818	1.0269377	1.0089230	1.0008586	1.0184287	1.0082715	1.0016629	1.0157733	HI	0.5000234	0.0001258179	0.9074229	0.09257669	4.659121e-05	 4.850130e-04	1.0005312
18	0.9	neg	0.17161052	0.16098840	0.18113865	1.0141903	1.0004164	1.0262989	0.19327693	0.18310357	0.20629150	1.0440294	1.0338403	1.0564953	0.9718954	0.9653926	0.9794932	0.9705204	0.9649106	0.9750564	HI	0.5000026	0.0998331181	0.9074233	0.09257669	3.696888e-02	-7.184919e-02	0.9651196
18	0.9	pos	5.45219504	5.31764637	5.56477343	0.9944503	0.9776911	1.0128438	5.85683267	5.73865165	5.98937938	1.0241682	1.0093600	1.0380684	1.4204236	1.4059597	1.4368098	0.9548524	0.9472148	0.9642070	HI	0.4999734	0.1006136137	0.9074238	0.09257669	3.725790e-02	 3.878536e-01	1.4251120
19	0.0	neg	0.98311643	0.97047040	0.99916715	0.9818798	0.9704451	0.9937498	0.98421975	0.97050299	1.00155485	0.9832075	0.9703130	0.9960646	0.9925652	0.9831227	1.0030388	0.9948127	0.9846664	1.0044354	HI	0.4999955	0.0001253693	0.9074234	0.09257669	4.642512e-05	-9.022743e-05	0.9999563
19	0.0	pos	1.01232505	0.99520155	1.03045567	1.0120781	0.9959117	1.0310236	1.01335141	0.99612886	1.03437621	1.0117354	0.9949293	1.0334879	1.0072151	0.9964828	1.0196241	1.0068749	0.9976713	1.0168493	HI	0.4999520	0.0001253991	0.9074242	0.09257669	4.643612e-05	 4.833986e-04	1.0005307
19	0.9	neg	0.18288664	0.17352433	0.19175180	0.9914381	0.9737772	1.0082906	0.20567006	0.19444328	0.21777267	1.0208652	1.0033704	1.0377768	0.9628901	0.9536165	0.9723076	0.9617538	0.9535673	0.9705562	HI	0.4999839	0.0950607551	0.9074236	0.09257669	3.520164e-02	-6.841455e-02	0.9667874
19	0.9	pos	5.44092990	5.35577259	5.52216601	1.0084237	0.9827215	1.0367474	5.84111084	5.74401534	5.93632371	1.0373838	1.0024283	1.0666140	1.4132883	1.3971502	1.4281674	0.9644864	0.9485957	0.9786404	HI	0.4999964	0.0960091352	0.9074234	0.09257669	3.555283e-02	 3.701039e-01	1.4056568
 2	0.0	neg	0.32684371	0.32133842	0.33313143	0.9984706	0.9843458	1.0142590	0.34950903	0.34136333	0.35629211	1.0189226	1.0057131	1.0352942	0.9799687	0.9725842	0.9901722	0.9790520	0.9725345	0.9868879	HI	0.5000240	0.0616092625	0.9074229	0.09257669	2.281433e-02	-4.433975e-02	0.9784741
 2	0.0	pos	4.75174359	4.67074137	4.82260681	0.9867933	0.9733600	1.0009661	4.93010195	4.84599959	5.01777380	1.0094592	0.9913541	1.0298630	1.2654745	1.2563250	1.2751084	0.9651619	0.9569081	0.9736650	HI	0.4999898	0.0633139623	0.9074235	0.09257669	2.344559e-02	 2.440678e-01	1.2675136
