t	P	cov	model	h2_standard.mean	h2_standard.CI95l	h2_standard.CI95r	h2_standard_ganc.mean	h2_standard_ganc.CI95l	h2_standard_ganc.CI95r	h2_varX.mean	h2_varX.CI95l	h2_varX.CI95r	h2_varX_ganc.mean	h2_varX_ganc.CI95l	h2_varX_ganc.CI95r	h2_ld.mean	h2_ld.CI95l	h2_ld.CI95r	h2_ld_ganc.mean	h2_ld_ganc.CI95l	h2_ld_ganc.CI95r
 4	0.0	pos	CGF	0.7671049	0.7651526	0.7691983	0.7671399	0.7648282	0.7692420	0.7703439	0.7680317	0.7725405	0.7706558	0.7687772	0.7722207	0.8001171	0.7988913	0.8016379	0.7691341	0.7673579	0.7713163
 4	0.0	pos	HI	0.7893616	0.7871063	0.7918981	0.7896445	0.7874811	0.7920093	0.7907162	0.7879122	0.7935056	0.7905286	0.7881242	0.7931355	0.8006286	0.7994259	0.8017920	0.7950040	0.7938115	0.7963889
 4	0.9	neg	CGF	0.8066408	0.8047491	0.8089206	0.8067547	0.8051382	0.8084974	0.8135666	0.8122054	0.8156695	0.8135482	0.8119866	0.8156073	0.7981778	0.7967399	0.7997415	0.7979814	0.7967340	0.7993668
 4	0.9	neg	HI	0.8114282	0.8100888	0.8128289	0.8115297	0.8101738	0.8127535	0.8222047	0.8210915	0.8234716	0.8220666	0.8211115	0.8232630	0.8002785	0.7994582	0.8012915	0.7997975	0.7990202	0.8006069
 4	0.9	pos	CGF	0.7227137	0.7206176	0.7250654	0.7230050	0.7203561	0.7256940	0.7317511	0.7293751	0.7343274	0.7319257	0.7295314	0.7348358	0.7994781	0.7979340	0.8008754	0.7124810	0.7103665	0.7144474
 4	0.9	pos	HI	0.6833884	0.6816211	0.6852037	0.6830835	0.6811944	0.6849047	0.6984511	0.6965881	0.7003368	0.6982056	0.6963485	0.7002570	0.8005202	0.7991834	0.8018225	0.6638689	0.6618622	0.6659458
 5	0.0	neg	CGF	0.8021567	0.8006569	0.8037449	0.8020502	0.8005602	0.8034080	0.8048646	0.8032976	0.8064841	0.8048933	0.8030231	0.8064926	0.7999760	0.7983300	0.8017268	0.8001364	0.7984764	0.8021210
 5	0.0	neg	HI	0.7994610	0.7979435	0.8009958	0.7995397	0.7981221	0.8011617	0.7997452	0.7982845	0.8011032	0.7998308	0.7986425	0.8014416	0.7988365	0.7967249	0.8002576	0.7989090	0.7970641	0.8009058
 5	0.0	pos	CGF	0.7677195	0.7660198	0.7691123	0.7677834	0.7662000	0.7690992	0.7711609	0.7694695	0.7728109	0.7708184	0.7696104	0.7719363	0.7987957	0.7973202	0.8001347	0.7682643	0.7665223	0.7700975
 5	0.0	pos	HI	0.7936050	0.7925359	0.7949491	0.7935396	0.7923799	0.7948660	0.7940310	0.7925964	0.7951546	0.7940149	0.7928529	0.7956960	0.7993601	0.7983392	0.8002595	0.7974378	0.7966057	0.7984437
 5	0.9	neg	CGF	0.8091095	0.8068602	0.8114583	0.8091357	0.8069415	0.8108314	0.8165058	0.8139502	0.8182383	0.8163795	0.8140425	0.8182865	0.7999282	0.7983420	0.8019032	0.7998074	0.7984338	0.8013557
 5	0.9	neg	HI	0.8118183	0.8095285	0.8140034	0.8121476	0.8101202	0.8140083	0.8220923	0.8203725	0.8242425	0.8219528	0.8202502	0.8239302	0.8013939	0.7997864	0.8028632	0.8006472	0.7988769	0.8023603
 5	0.9	pos	CGF	0.7145591	0.7121058	0.7170897	0.7145055	0.7118405	0.7176268	0.7247878	0.7223040	0.7272148	0.7246025	0.7218358	0.7272276	0.7995210	0.7985087	0.8005118	0.7024805	0.7000082	0.7051777
 5	0.9	pos	HI	0.6852654	0.6820974	0.6880183	0.6853555	0.6824154	0.6885748	0.7000910	0.6977007	0.7025649	0.6996002	0.6962882	0.7027805	0.7999719	0.7989373	0.8012848	0.6688909	0.6661137	0.6715183
 6	0.0	neg	CGF	0.8016889	0.8002671	0.8034056	0.8017154	0.8005714	0.8031270	0.8043657	0.8029130	0.8058531	0.8042272	0.8030441	0.8055207	0.7993429	0.7985243	0.8001930	0.7993949	0.7985596	0.8002688
 6	0.0	neg	HI	0.7980874	0.7956937	0.8004109	0.7979608	0.7956148	0.7999963	0.7982734	0.7955469	0.8006687	0.7982971	0.7960423	0.8002921	0.7992846	0.7977502	0.8007814	0.7992051	0.7977928	0.8007440
 6	0.0	pos	CGF	0.7707291	0.7681099	0.7729126	0.7704704	0.7681193	0.7731886	0.7735710	0.7719914	0.7754630	0.7736170	0.7710695	0.7758772	0.7998275	0.7980563	0.8016364	0.7726914	0.7707370	0.7747252
 6	0.0	pos	HI	0.7970071	0.7954360	0.7986694	0.7970428	0.7947554	0.7988355	0.7973542	0.7953145	0.7992725	0.7973799	0.7956283	0.7990883	0.7999712	0.7990715	0.8009058	0.7995645	0.7986062	0.8003543
 6	0.9	neg	CGF	0.8090172	0.8078014	0.8102114	0.8089616	0.8073042	0.8106252	0.8168059	0.8150258	0.8179711	0.8169546	0.8153474	0.8183307	0.8007765	0.7995288	0.8019381	0.8002546	0.7991745	0.8016807
 6	0.9	neg	HI	0.8103236	0.8079297	0.8127901	0.8102239	0.8079842	0.8125410	0.8203358	0.8182112	0.8230663	0.8199816	0.8180861	0.8223106	0.7989468	0.7968625	0.8018330	0.7984047	0.7965661	0.8000059
 6	0.9	pos	CGF	0.7095429	0.7056128	0.7143813	0.7095540	0.7048385	0.7131958	0.7199548	0.7163630	0.7240875	0.7205574	0.7157997	0.7247391	0.8000290	0.7983396	0.8017361	0.6979732	0.6938157	0.7025093
 6	0.9	pos	HI	0.6944674	0.6923126	0.6974246	0.6944360	0.6922153	0.6964858	0.7076149	0.7051848	0.7098516	0.7078800	0.7054711	0.7101147	0.8006561	0.7985163	0.8021262	0.6766384	0.6739074	0.6790369
 7	0.0	neg	CGF	0.8032567	0.8015480	0.8053156	0.8031407	0.8014119	0.8045465	0.8056495	0.8039318	0.8072186	0.8058377	0.8041127	0.8073905	0.8003046	0.7990019	0.8017493	0.8001648	0.7989100	0.8015531
 7	0.0	neg	HI	0.8003211	0.7988736	0.8015698	0.8004984	0.7990182	0.8018331	0.8004376	0.7992669	0.8018708	0.8005922	0.7992375	0.8021881	0.7998830	0.7985799	0.8010866	0.7999212	0.7987757	0.8014037
 7	0.0	pos	CGF	0.7717247	0.7696870	0.7734661	0.7715077	0.7694508	0.7741560	0.7745310	0.7726394	0.7766810	0.7743803	0.7722622	0.7764737	0.8001655	0.7987418	0.8019854	0.7742351	0.7726225	0.7762764
 7	0.0	pos	HI	0.7974270	0.7947435	0.7994742	0.7974550	0.7952772	0.7996832	0.7974694	0.7944568	0.8001422	0.7972744	0.7941031	0.7996687	0.7990775	0.7972943	0.8006624	0.7990202	0.7962703	0.8011685
 7	0.9	neg	CGF	0.8064584	0.8040342	0.8096131	0.8066248	0.8036504	0.8095882	0.8151740	0.8123990	0.8182940	0.8151285	0.8123900	0.8178819	0.7988477	0.7972021	0.8010156	0.7984371	0.7962095	0.8002697
 7	0.9	neg	HI	0.8084311	0.8065361	0.8104792	0.8085193	0.8060137	0.8105733	0.8178832	0.8160419	0.8197251	0.8177459	0.8155150	0.8200774	0.8000272	0.7987687	0.8014726	0.7993657	0.7977548	0.8008268
 7	0.9	pos	CGF	0.7042225	0.7026257	0.7058849	0.7040416	0.7023332	0.7054750	0.7157576	0.7140910	0.7172517	0.7157841	0.7138975	0.7172792	0.7998396	0.7987132	0.8009466	0.6926755	0.6903284	0.6945202
 7	0.9	pos	HI	0.6953689	0.6911933	0.6998000	0.6954445	0.6915747	0.6995649	0.7085904	0.7042342	0.7121040	0.7083396	0.7052474	0.7127504	0.7997669	0.7978616	0.8018411	0.6817189	0.6774316	0.6869385
 8	0.0	neg	CGF	0.8019594	0.7998180	0.8042477	0.8022955	0.8000438	0.8045668	0.8046072	0.8024210	0.8063811	0.8047159	0.8026209	0.8064418	0.8005887	0.7991010	0.8022061	0.8007459	0.7994150	0.8022951
 8	0.0	neg	HI	0.7999575	0.7971530	0.8019237	0.7997822	0.7976301	0.8021300	0.8000023	0.7975652	0.8021375	0.7999957	0.7977249	0.8021472	0.8002576	0.7989164	0.8017133	0.8002055	0.7990000	0.8015150
